标题,播放数量,链接
岁月如潮水，将我向老歌推,512万,http://music.163.com/playlist?id=2139305008
【华语】把回忆藏在曾经的歌里,785万,http://music.163.com/playlist?id=2139491961
下次理发我要让我的Tony播放这个歌单,1040万,http://music.163.com/playlist?id=2120785460
「不老女声」你 是 窗 前 深 浅 白 月 光,609万,http://music.163.com/playlist?id=2121679666
仙人抚我顶，结发受长生。,642万,http://music.163.com/playlist?id=2132009349
当你穿山越岭，我把我唱给你听,592万,http://music.163.com/playlist?id=2131695543
华研国际热门音乐精选50首,939万,http://music.163.com/playlist?id=2120700410
『無前奏 | 女嗓』开口即跪 心醉神迷.,847万,http://music.163.com/playlist?id=2089907261
「赶走阴霾」来一首欢快的欧美小调,625万,http://music.163.com/playlist?id=2084738832
「古风精选」你眼中是江湖 我眼中是你,501万,http://music.163.com/playlist?id=2074681032
痛彻心扉地哭，然后刻骨铭心地记住,689万,http://music.163.com/playlist?id=2059430694
华语 | 听歌最怕应景，触景最怕生情,1186万,http://music.163.com/playlist?id=2042006896
2018全年抖腿指南，老铁你怕了吗？,912万,http://music.163.com/playlist?id=2050704516
『曲作精选』细数古风圈原创作曲人,513万,http://music.163.com/playlist?id=2041615881
粤语女声 I 故事太多 没人会听你诉说,529万,http://music.163.com/playlist?id=2047424322
【节奏控】好听又带感的英文歌(2017总结篇),1974万,http://music.163.com/playlist?id=2036883936
『致前任』我曾经很喜欢你 但也只能到这里,731万,http://music.163.com/playlist?id=2049424729
再深的感情也抵挡不住缘分的交错,551万,http://music.163.com/playlist?id=2036154174
妈妈，他的糖里有毒,977万,http://music.163.com/playlist?id=2052760419
你说你很累，可谁又活得顺风顺水,606万,http://music.163.com/playlist?id=2055724092
华语百首 | 歌词里那些欲言又止的少女心事,1128万,http://music.163.com/playlist?id=2029428985
分手后再次与前任相见你会怎么办？,1265万,http://music.163.com/playlist?id=2045750454
2017年度热议单曲TOP100,3865万,http://music.163.com/playlist?id=2039081586
2017年度最热新歌TOP100,3697万,http://music.163.com/playlist?id=2039073542
2017年度最受欢迎个性推荐歌曲,3466万,http://music.163.com/playlist?id=2039098272
2017年billboard公告牌电子舞曲年榜,718万,http://music.163.com/playlist?id=2012592880
那些年单纯的小美好,542万,http://music.163.com/playlist?id=2045803772
适合努力学习英语时听的歌曲,885万,http://music.163.com/playlist?id=2015397679
人这一辈子，最怕突然听懂了一首歌。,908万,http://music.163.com/playlist?id=2020864493
道一声送别的歌曲，敬一杯离去的芳华,577万,http://music.163.com/playlist?id=2026455978
梦回旧景 | 多想回到最初遇见你的时光,1195万,http://music.163.com/playlist?id=2009145567
华语︱情话是一门失传的艺术,544万,http://music.163.com/playlist?id=2005048744
【 2017 YouTube收听量最高的欧美歌曲 】,927万,http://music.163.com/playlist?id=1991596470
百首老歌：再续当年情,844万,http://music.163.com/playlist?id=1994370897
梦幻韵律 ' 独立另类的浩繁乐境,674万,http://music.163.com/playlist?id=1985891947
华语 | 假如能回到过去，你想做什么,1990万,http://music.163.com/playlist?id=1982066521
日语｜无可救药的孤独症患者,631万,http://music.163.com/playlist?id=984196486
『粤语』 听一首把自己感动的歌,1779万,http://music.163.com/playlist?id=981484303
你是阳光和雨交界最美的颜色,645万,http://music.163.com/playlist?id=987527362
怀旧辑 | 昨日红花今又开，似是故人来,754万,http://music.163.com/playlist?id=988454757
我恰好途经你的盛放,913万,http://music.163.com/playlist?id=1991893513
「民谣精选」你的名字美如诗,519万,http://music.163.com/playlist?id=974763910
2017全球百大DJ排行榜,1472万,http://music.163.com/playlist?id=967260925
「纯音乐｜节奏控」一杯提神的薄荷茶。,715万,http://music.163.com/playlist?id=962637148
电音史上最伟大的250首EDM音乐作品,1425万,http://music.163.com/playlist?id=954297462
有些歌一听就是一辈子【最爱金曲榜】,779万,http://music.163.com/playlist?id=994096872
「华语」哭泣使人乞讨，思念使人奔跑,3430万,http://music.163.com/playlist?id=941306349
无事献殷勤，非……非常喜欢你,1443万,http://music.163.com/playlist?id=952169293
终于听懂每首情歌，却再也没有可以联系的人,797万,http://music.163.com/playlist?id=961246075
华语速爆新歌,12222万,http://music.163.com/playlist?id=924680166
